"Numero_observation";"Code_postal";"Espece";"Humidite_sol";"Difficulte_enfoncer_crayon";"Environnement";"Placette";"Nombre_individus"
94994;"62130";"Epigé";"sec";"facile";"Rural";1;9
94994;"62130";"Epigé";"sec";"facile";"Rural";2;35
94994;"62130";"Epigé";"sec";"facile";"Rural";3;0
95002;"92700";"Anécique tête noire";"humide";"peu_difficile";"Urbain";1;5
95002;"92700";"Anécique tête noire";"humide";"peu_difficile";"Urbain";2;12
95002;"92700";"Anécique tête noire";"humide";"peu_difficile";"Urbain";3;8
95002;"92700";"Anécique tête rouge";"humide";"peu_difficile";"Urbain";1;4
95002;"92700";"Anécique tête rouge";"humide";"peu_difficile";"Urbain";2;5
95002;"92700";"Anécique tête rouge";"humide";"peu_difficile";"Urbain";3;5
95002;"92700";"Endogé";"humide";"peu_difficile";"Urbain";1;3
95002;"92700";"Endogé";"humide";"peu_difficile";"Urbain";2;7
95002;"92700";"Endogé";"humide";"peu_difficile";"Urbain";3;13
95002;"92700";"Epigé";"humide";"peu_difficile";"Urbain";1;4
95002;"92700";"Epigé";"humide";"peu_difficile";"Urbain";2;10
95002;"92700";"Epigé";"humide";"peu_difficile";"Urbain";3;0
95083;"92000";"Anécique tête noire";"sec";"peu_difficile";"Urbain";1;0
95083;"92000";"Anécique tête noire";"sec";"peu_difficile";"Urbain";2;0
95083;"92000";"Anécique tête noire";"sec";"peu_difficile";"Urbain";3;0
95083;"92000";"Anécique tête rouge";"sec";"peu_difficile";"Urbain";1;0
95083;"92000";"Anécique tête rouge";"sec";"peu_difficile";"Urbain";2;0
95083;"92000";"Anécique tête rouge";"sec";"peu_difficile";"Urbain";3;0
95083;"92000";"Endogé";"sec";"peu_difficile";"Urbain";1;0
95083;"92000";"Endogé";"sec";"peu_difficile";"Urbain";2;0
95083;"92000";"Endogé";"sec";"peu_difficile";"Urbain";3;0
95083;"92000";"Epigé";"sec";"peu_difficile";"Urbain";1;2
95083;"92000";"Epigé";"sec";"peu_difficile";"Urbain";2;0
95083;"92000";"Epigé";"sec";"peu_difficile";"Urbain";3;0
95085;"92000";"Anécique tête noire";"sec";"difficile";"Péri-urbain";1;9
95085;"92000";"Anécique tête noire";"sec";"difficile";"Péri-urbain";2;0
95085;"92000";"Anécique tête noire";"sec";"difficile";"Péri-urbain";3;0
95085;"92000";"Anécique tête rouge";"sec";"difficile";"Péri-urbain";1;10
95085;"92000";"Anécique tête rouge";"sec";"difficile";"Péri-urbain";2;0
95085;"92000";"Anécique tête rouge";"sec";"difficile";"Péri-urbain";3;0
95085;"92000";"Endogé";"sec";"difficile";"Péri-urbain";1;6
95085;"92000";"Endogé";"sec";"difficile";"Péri-urbain";2;0
95085;"92000";"Endogé";"sec";"difficile";"Péri-urbain";3;0
95085;"92000";"Epigé";"sec";"difficile";"Péri-urbain";1;57
95085;"92000";"Epigé";"sec";"difficile";"Péri-urbain";2;0
95085;"92000";"Epigé";"sec";"difficile";"Péri-urbain";3;0
95208;"62130";"Anécique tête noire";"humide";"facile";"Péri-urbain";1;0
95208;"62130";"Anécique tête noire";"humide";"facile";"Péri-urbain";2;0
95208;"62130";"Anécique tête noire";"humide";"facile";"Péri-urbain";3;0
95208;"62130";"Anécique tête rouge";"humide";"facile";"Péri-urbain";1;5
95208;"62130";"Anécique tête rouge";"humide";"facile";"Péri-urbain";2;4
95208;"62130";"Anécique tête rouge";"humide";"facile";"Péri-urbain";3;0
95208;"62130";"Endogé";"humide";"facile";"Péri-urbain";1;5
95208;"62130";"Endogé";"humide";"facile";"Péri-urbain";2;1
95208;"62130";"Endogé";"humide";"facile";"Péri-urbain";3;1
95208;"62130";"Epigé";"humide";"facile";"Péri-urbain";1;3
95208;"62130";"Epigé";"humide";"facile";"Péri-urbain";2;0
95208;"62130";"Epigé";"humide";"facile";"Péri-urbain";3;0
95251;"75007";"Anécique tête noire";"humide";"facile";"Urbain";1;6
95251;"75007";"Anécique tête noire";"humide";"facile";"Urbain";2;0
95251;"75007";"Anécique tête noire";"humide";"facile";"Urbain";3;0
95251;"75007";"Anécique tête rouge";"humide";"facile";"Urbain";1;7
95251;"75007";"Anécique tête rouge";"humide";"facile";"Urbain";2;0
95251;"75007";"Anécique tête rouge";"humide";"facile";"Urbain";3;0
95251;"75007";"Endogé";"humide";"facile";"Urbain";1;13
95251;"75007";"Endogé";"humide";"facile";"Urbain";2;0
95251;"75007";"Endogé";"humide";"facile";"Urbain";3;0
95251;"75007";"Epigé";"humide";"facile";"Urbain";1;15
95251;"75007";"Epigé";"humide";"facile";"Urbain";2;0
95251;"75007";"Epigé";"humide";"facile";"Urbain";3;0
95252;"75007";"Anécique tête noire";"humide";"facile";"Urbain";1;11
95252;"75007";"Anécique tête noire";"humide";"facile";"Urbain";2;0
95252;"75007";"Anécique tête noire";"humide";"facile";"Urbain";3;0
95252;"75007";"Anécique tête rouge";"humide";"facile";"Urbain";1;15
95252;"75007";"Anécique tête rouge";"humide";"facile";"Urbain";2;0
95252;"75007";"Anécique tête rouge";"humide";"facile";"Urbain";3;0
95252;"75007";"Endogé";"humide";"facile";"Urbain";1;23
95252;"75007";"Endogé";"humide";"facile";"Urbain";2;0
95252;"75007";"Endogé";"humide";"facile";"Urbain";3;0
95252;"75007";"Epigé";"humide";"facile";"Urbain";1;24
95252;"75007";"Epigé";"humide";"facile";"Urbain";2;0
95252;"75007";"Epigé";"humide";"facile";"Urbain";3;0
95268;"75007";"Anécique tête noire";"humide";"";"Urbain";1;3
95268;"75007";"Anécique tête noire";"humide";"";"Urbain";2;0
95268;"75007";"Anécique tête noire";"humide";"";"Urbain";3;0
95268;"75007";"Anécique tête rouge";"humide";"";"Urbain";1;1
95268;"75007";"Anécique tête rouge";"humide";"";"Urbain";2;0
95268;"75007";"Anécique tête rouge";"humide";"";"Urbain";3;0
95268;"75007";"Endogé";"humide";"";"Urbain";1;0
95268;"75007";"Endogé";"humide";"";"Urbain";2;0
95268;"75007";"Endogé";"humide";"";"Urbain";3;0
95268;"75007";"Epigé";"humide";"";"Urbain";1;16
95268;"75007";"Epigé";"humide";"";"Urbain";2;0
95268;"75007";"Epigé";"humide";"";"Urbain";3;0
95336;"32800";"Anécique tête noire";"";"peu_difficile";"Urbain";1;6
95336;"32800";"Anécique tête noire";"";"peu_difficile";"Urbain";2;0
95336;"32800";"Anécique tête noire";"";"peu_difficile";"Urbain";3;0
95336;"32800";"Anécique tête rouge";"";"peu_difficile";"Urbain";1;4
95336;"32800";"Anécique tête rouge";"";"peu_difficile";"Urbain";2;0
95336;"32800";"Anécique tête rouge";"";"peu_difficile";"Urbain";3;0
95336;"32800";"Endogé";"";"peu_difficile";"Urbain";1;2
95336;"32800";"Endogé";"";"peu_difficile";"Urbain";2;0
95336;"32800";"Endogé";"";"peu_difficile";"Urbain";3;0
95336;"32800";"Epigé";"";"peu_difficile";"Urbain";1;1
95336;"32800";"Epigé";"";"peu_difficile";"Urbain";2;0
95336;"32800";"Epigé";"";"peu_difficile";"Urbain";3;0
95352;"78700";"Anécique tête noire";"sec";"difficile";"Urbain";1;4
95352;"78700";"Anécique tête noire";"sec";"difficile";"Urbain";2;6
95352;"78700";"Anécique tête noire";"sec";"difficile";"Urbain";3;11
95352;"78700";"Anécique tête rouge";"sec";"difficile";"Urbain";1;4
95352;"78700";"Anécique tête rouge";"sec";"difficile";"Urbain";2;9
95352;"78700";"Anécique tête rouge";"sec";"difficile";"Urbain";3;0
95352;"78700";"Endogé";"sec";"difficile";"Urbain";1;2
95352;"78700";"Endogé";"sec";"difficile";"Urbain";2;7
95352;"78700";"Endogé";"sec";"difficile";"Urbain";3;13
95352;"78700";"Epigé";"sec";"difficile";"Urbain";1;3
95352;"78700";"Epigé";"sec";"difficile";"Urbain";2;5
95352;"78700";"Epigé";"sec";"difficile";"Urbain";3;11
95357;"78130";"Anécique tête noire";"humide";"facile";"Urbain";1;2
95357;"78130";"Anécique tête noire";"humide";"facile";"Urbain";2;3
95357;"78130";"Anécique tête noire";"humide";"facile";"Urbain";3;6
95357;"78130";"Anécique tête rouge";"humide";"facile";"Urbain";1;9
95357;"78130";"Anécique tête rouge";"humide";"facile";"Urbain";2;12
95357;"78130";"Anécique tête rouge";"humide";"facile";"Urbain";3;0
95357;"78130";"Endogé";"humide";"facile";"Urbain";1;3
95357;"78130";"Endogé";"humide";"facile";"Urbain";2;2
95357;"78130";"Endogé";"humide";"facile";"Urbain";3;6
95357;"78130";"Epigé";"humide";"facile";"Urbain";1;9
95357;"78130";"Epigé";"humide";"facile";"Urbain";2;12
95357;"78130";"Epigé";"humide";"facile";"Urbain";3;0
95372;"62130";"Anécique tête noire";"humide";"facile";"Péri-urbain";1;1
95372;"62130";"Anécique tête noire";"humide";"facile";"Péri-urbain";2;4
95372;"62130";"Anécique tête noire";"humide";"facile";"Péri-urbain";3;0
95372;"62130";"Anécique tête rouge";"humide";"facile";"Péri-urbain";1;4
95372;"62130";"Anécique tête rouge";"humide";"facile";"Péri-urbain";2;7
95372;"62130";"Anécique tête rouge";"humide";"facile";"Péri-urbain";3;0
95372;"62130";"Endogé";"humide";"facile";"Péri-urbain";1;3
95372;"62130";"Endogé";"humide";"facile";"Péri-urbain";2;11
95372;"62130";"Endogé";"humide";"facile";"Péri-urbain";3;21
95372;"62130";"Epigé";"humide";"facile";"Péri-urbain";1;3
95372;"62130";"Epigé";"humide";"facile";"Péri-urbain";2;0
95372;"62130";"Epigé";"humide";"facile";"Péri-urbain";3;0
95394;"78700";"Anécique tête noire";"humide";"facile";"Urbain";1;1
95394;"78700";"Anécique tête noire";"humide";"facile";"Urbain";2;0
95394;"78700";"Anécique tête noire";"humide";"facile";"Urbain";3;0
95394;"78700";"Anécique tête rouge";"humide";"facile";"Urbain";1;1
95394;"78700";"Anécique tête rouge";"humide";"facile";"Urbain";2;0
95394;"78700";"Anécique tête rouge";"humide";"facile";"Urbain";3;0
95394;"78700";"Endogé";"humide";"facile";"Urbain";1;3
95394;"78700";"Endogé";"humide";"facile";"Urbain";2;0
95394;"78700";"Endogé";"humide";"facile";"Urbain";3;0
95394;"78700";"Epigé";"humide";"facile";"Urbain";1;0
95394;"78700";"Epigé";"humide";"facile";"Urbain";2;0
95394;"78700";"Epigé";"humide";"facile";"Urbain";3;0
95396;"78700";"Anécique tête noire";"humide";"facile";"Urbain";1;5
95396;"78700";"Anécique tête noire";"humide";"facile";"Urbain";2;0
95396;"78700";"Anécique tête noire";"humide";"facile";"Urbain";3;0
95396;"78700";"Anécique tête rouge";"humide";"facile";"Urbain";1;2
95396;"78700";"Anécique tête rouge";"humide";"facile";"Urbain";2;0
95396;"78700";"Anécique tête rouge";"humide";"facile";"Urbain";3;0
95396;"78700";"Endogé";"humide";"facile";"Urbain";1;7
95396;"78700";"Endogé";"humide";"facile";"Urbain";2;0
95396;"78700";"Endogé";"humide";"facile";"Urbain";3;0
95396;"78700";"Epigé";"humide";"facile";"Urbain";1;0
95396;"78700";"Epigé";"humide";"facile";"Urbain";2;0
95396;"78700";"Epigé";"humide";"facile";"Urbain";3;0
95404;"78700";"Anécique tête noire";"humide";"peu_difficile";"Urbain";1;4
95404;"78700";"Anécique tête noire";"humide";"peu_difficile";"Urbain";2;0
95404;"78700";"Anécique tête noire";"humide";"peu_difficile";"Urbain";3;0
95404;"78700";"Anécique tête rouge";"humide";"peu_difficile";"Urbain";1;0
95404;"78700";"Anécique tête rouge";"humide";"peu_difficile";"Urbain";2;0
95404;"78700";"Anécique tête rouge";"humide";"peu_difficile";"Urbain";3;0
95404;"78700";"Endogé";"humide";"peu_difficile";"Urbain";1;1
95404;"78700";"Endogé";"humide";"peu_difficile";"Urbain";2;0
95404;"78700";"Endogé";"humide";"peu_difficile";"Urbain";3;0
95404;"78700";"Epigé";"humide";"peu_difficile";"Urbain";1;1
95404;"78700";"Epigé";"humide";"peu_difficile";"Urbain";2;0
95404;"78700";"Epigé";"humide";"peu_difficile";"Urbain";3;0
95411;"32800";"Anécique tête noire";"engorge";"tres_facile";"Urbain";1;6
95411;"32800";"Anécique tête noire";"engorge";"tres_facile";"Urbain";2;0
95411;"32800";"Anécique tête noire";"engorge";"tres_facile";"Urbain";3;0
95411;"32800";"Anécique tête rouge";"engorge";"tres_facile";"Urbain";1;2
95411;"32800";"Anécique tête rouge";"engorge";"tres_facile";"Urbain";2;0
95411;"32800";"Anécique tête rouge";"engorge";"tres_facile";"Urbain";3;0
95411;"32800";"Endogé";"engorge";"tres_facile";"Urbain";1;6
95411;"32800";"Endogé";"engorge";"tres_facile";"Urbain";2;0
95411;"32800";"Endogé";"engorge";"tres_facile";"Urbain";3;0
95411;"32800";"Epigé";"engorge";"tres_facile";"Urbain";1;6
95411;"32800";"Epigé";"engorge";"tres_facile";"Urbain";2;0
95411;"32800";"Epigé";"engorge";"tres_facile";"Urbain";3;0
95412;"32800";"Anécique tête noire";"humide";"facile";"Urbain";1;2
95412;"32800";"Anécique tête noire";"humide";"facile";"Urbain";2;0
95412;"32800";"Anécique tête noire";"humide";"facile";"Urbain";3;0
95412;"32800";"Anécique tête rouge";"humide";"facile";"Urbain";1;5
95412;"32800";"Anécique tête rouge";"humide";"facile";"Urbain";2;0
95412;"32800";"Anécique tête rouge";"humide";"facile";"Urbain";3;0
95412;"32800";"Endogé";"humide";"facile";"Urbain";1;4
95412;"32800";"Endogé";"humide";"facile";"Urbain";2;0
95412;"32800";"Endogé";"humide";"facile";"Urbain";3;0
95412;"32800";"Epigé";"humide";"facile";"Urbain";1;1
95412;"32800";"Epigé";"humide";"facile";"Urbain";2;0
95412;"32800";"Epigé";"humide";"facile";"Urbain";3;0
95413;"32800";"Anécique tête noire";"humide";"tres_facile";"Urbain";1;1
95413;"32800";"Anécique tête noire";"humide";"tres_facile";"Urbain";2;0
95413;"32800";"Anécique tête noire";"humide";"tres_facile";"Urbain";3;0
95413;"32800";"Anécique tête rouge";"humide";"tres_facile";"Urbain";1;2
95413;"32800";"Anécique tête rouge";"humide";"tres_facile";"Urbain";2;0
95413;"32800";"Anécique tête rouge";"humide";"tres_facile";"Urbain";3;0
95413;"32800";"Endogé";"humide";"tres_facile";"Urbain";1;3
95413;"32800";"Endogé";"humide";"tres_facile";"Urbain";2;0
95413;"32800";"Endogé";"humide";"tres_facile";"Urbain";3;0
95413;"32800";"Epigé";"humide";"tres_facile";"Urbain";1;4
95413;"32800";"Epigé";"humide";"tres_facile";"Urbain";2;0
95413;"32800";"Epigé";"humide";"tres_facile";"Urbain";3;0
95414;"32800";"Anécique tête noire";"humide";"peu_difficile";"Urbain";1;3
95414;"32800";"Anécique tête noire";"humide";"peu_difficile";"Urbain";2;0
95414;"32800";"Anécique tête noire";"humide";"peu_difficile";"Urbain";3;0
95414;"32800";"Anécique tête rouge";"humide";"peu_difficile";"Urbain";1;4
95414;"32800";"Anécique tête rouge";"humide";"peu_difficile";"Urbain";2;0
95414;"32800";"Anécique tête rouge";"humide";"peu_difficile";"Urbain";3;0
95414;"32800";"Endogé";"humide";"peu_difficile";"Urbain";1;3
95414;"32800";"Endogé";"humide";"peu_difficile";"Urbain";2;0
95414;"32800";"Endogé";"humide";"peu_difficile";"Urbain";3;0
95414;"32800";"Epigé";"humide";"peu_difficile";"Urbain";1;16
95414;"32800";"Epigé";"humide";"peu_difficile";"Urbain";2;0
95414;"32800";"Epigé";"humide";"peu_difficile";"Urbain";3;0
95415;"32800";"Anécique tête noire";"engorge";"tres_facile";"Urbain";1;1
95415;"32800";"Anécique tête noire";"engorge";"tres_facile";"Urbain";2;0
95415;"32800";"Anécique tête noire";"engorge";"tres_facile";"Urbain";3;0
95415;"32800";"Anécique tête rouge";"engorge";"tres_facile";"Urbain";1;0
95415;"32800";"Anécique tête rouge";"engorge";"tres_facile";"Urbain";2;0
95415;"32800";"Anécique tête rouge";"engorge";"tres_facile";"Urbain";3;0
95415;"32800";"Endogé";"engorge";"tres_facile";"Urbain";1;2
95415;"32800";"Endogé";"engorge";"tres_facile";"Urbain";2;0
95415;"32800";"Endogé";"engorge";"tres_facile";"Urbain";3;0
95415;"32800";"Epigé";"engorge";"tres_facile";"Urbain";1;1
95415;"32800";"Epigé";"engorge";"tres_facile";"Urbain";2;0
95415;"32800";"Epigé";"engorge";"tres_facile";"Urbain";3;0
95416;"32800";"Anécique tête noire";"engorge";"tres_facile";"Urbain";1;5
95416;"32800";"Anécique tête noire";"engorge";"tres_facile";"Urbain";2;0
95416;"32800";"Anécique tête noire";"engorge";"tres_facile";"Urbain";3;0
95416;"32800";"Anécique tête rouge";"engorge";"tres_facile";"Urbain";1;4
95416;"32800";"Anécique tête rouge";"engorge";"tres_facile";"Urbain";2;0
95416;"32800";"Anécique tête rouge";"engorge";"tres_facile";"Urbain";3;0
95416;"32800";"Endogé";"engorge";"tres_facile";"Urbain";1;3
95416;"32800";"Endogé";"engorge";"tres_facile";"Urbain";2;0
95416;"32800";"Endogé";"engorge";"tres_facile";"Urbain";3;0
95416;"32800";"Epigé";"engorge";"tres_facile";"Urbain";1;1
95416;"32800";"Epigé";"engorge";"tres_facile";"Urbain";2;0
95416;"32800";"Epigé";"engorge";"tres_facile";"Urbain";3;0
95431;"78700";"Anécique tête noire";"sec";"peu_difficile";"Urbain";1;1
95431;"78700";"Anécique tête noire";"sec";"peu_difficile";"Urbain";2;0
95431;"78700";"Anécique tête noire";"sec";"peu_difficile";"Urbain";3;0
95431;"78700";"Anécique tête rouge";"sec";"peu_difficile";"Urbain";1;2
95431;"78700";"Anécique tête rouge";"sec";"peu_difficile";"Urbain";2;0
95431;"78700";"Anécique tête rouge";"sec";"peu_difficile";"Urbain";3;0
95431;"78700";"Endogé";"sec";"peu_difficile";"Urbain";1;5
95431;"78700";"Endogé";"sec";"peu_difficile";"Urbain";2;0
95431;"78700";"Endogé";"sec";"peu_difficile";"Urbain";3;0
95431;"78700";"Epigé";"sec";"peu_difficile";"Urbain";1;0
95431;"78700";"Epigé";"sec";"peu_difficile";"Urbain";2;0
95431;"78700";"Epigé";"sec";"peu_difficile";"Urbain";3;0
95432;"78700";"Anécique tête noire";"sec";"peu_difficile";"Urbain";1;1
95432;"78700";"Anécique tête noire";"sec";"peu_difficile";"Urbain";2;0
95432;"78700";"Anécique tête noire";"sec";"peu_difficile";"Urbain";3;0
95432;"78700";"Anécique tête rouge";"sec";"peu_difficile";"Urbain";1;1
95432;"78700";"Anécique tête rouge";"sec";"peu_difficile";"Urbain";2;0
95432;"78700";"Anécique tête rouge";"sec";"peu_difficile";"Urbain";3;0
95432;"78700";"Endogé";"sec";"peu_difficile";"Urbain";1;2
95432;"78700";"Endogé";"sec";"peu_difficile";"Urbain";2;0
95432;"78700";"Endogé";"sec";"peu_difficile";"Urbain";3;0
95432;"78700";"Epigé";"sec";"peu_difficile";"Urbain";1;0
95432;"78700";"Epigé";"sec";"peu_difficile";"Urbain";2;0
95432;"78700";"Epigé";"sec";"peu_difficile";"Urbain";3;0
95433;"78700";"Anécique tête noire";"sec";"peu_difficile";"Urbain";1;0
95433;"78700";"Anécique tête noire";"sec";"peu_difficile";"Urbain";2;0
95433;"78700";"Anécique tête noire";"sec";"peu_difficile";"Urbain";3;0
95433;"78700";"Anécique tête rouge";"sec";"peu_difficile";"Urbain";1;0
95433;"78700";"Anécique tête rouge";"sec";"peu_difficile";"Urbain";2;0
95433;"78700";"Anécique tête rouge";"sec";"peu_difficile";"Urbain";3;0
95433;"78700";"Endogé";"sec";"peu_difficile";"Urbain";1;0
95433;"78700";"Endogé";"sec";"peu_difficile";"Urbain";2;0
95433;"78700";"Endogé";"sec";"peu_difficile";"Urbain";3;0
95433;"78700";"Epigé";"sec";"peu_difficile";"Urbain";1;0
95433;"78700";"Epigé";"sec";"peu_difficile";"Urbain";2;0
95433;"78700";"Epigé";"sec";"peu_difficile";"Urbain";3;0
95446;"14410";"Anécique tête noire";"sec";"difficile";"Rural";1;2
95446;"14410";"Anécique tête noire";"sec";"difficile";"Rural";2;0
95446;"14410";"Anécique tête noire";"sec";"difficile";"Rural";3;0
95446;"14410";"Anécique tête rouge";"sec";"difficile";"Rural";1;2
95446;"14410";"Anécique tête rouge";"sec";"difficile";"Rural";2;0
95446;"14410";"Anécique tête rouge";"sec";"difficile";"Rural";3;0
95446;"14410";"Endogé";"sec";"difficile";"Rural";1;7
95446;"14410";"Endogé";"sec";"difficile";"Rural";2;0
95446;"14410";"Endogé";"sec";"difficile";"Rural";3;0
95446;"14410";"Epigé";"sec";"difficile";"Rural";1;3
95446;"14410";"Epigé";"sec";"difficile";"Rural";2;2
95446;"14410";"Epigé";"sec";"difficile";"Rural";3;0
95448;"93000";"Anécique tête noire";"humide";"peu_difficile";"Urbain";1;3
95448;"93000";"Anécique tête noire";"humide";"peu_difficile";"Urbain";2;4
95448;"93000";"Anécique tête noire";"humide";"peu_difficile";"Urbain";3;6
95448;"93000";"Anécique tête rouge";"humide";"peu_difficile";"Urbain";1;6
95448;"93000";"Anécique tête rouge";"humide";"peu_difficile";"Urbain";2;5
95448;"93000";"Anécique tête rouge";"humide";"peu_difficile";"Urbain";3;8
95448;"93000";"Endogé";"humide";"peu_difficile";"Urbain";1;5
95448;"93000";"Endogé";"humide";"peu_difficile";"Urbain";2;9
95448;"93000";"Endogé";"humide";"peu_difficile";"Urbain";3;11
95448;"93000";"Epigé";"humide";"peu_difficile";"Urbain";1;2
95448;"93000";"Epigé";"humide";"peu_difficile";"Urbain";2;0
95448;"93000";"Epigé";"humide";"peu_difficile";"Urbain";3;0
95454;"77730";"Anécique tête noire";"humide";"facile";"Rural";1;8
95454;"77730";"Anécique tête noire";"humide";"facile";"Rural";2;15
95454;"77730";"Anécique tête noire";"humide";"facile";"Rural";3;22
95454;"77730";"Anécique tête rouge";"humide";"facile";"Rural";1;0
95454;"77730";"Anécique tête rouge";"humide";"facile";"Rural";2;0
95454;"77730";"Anécique tête rouge";"humide";"facile";"Rural";3;0
95454;"77730";"Endogé";"humide";"facile";"Rural";1;4
95454;"77730";"Endogé";"humide";"facile";"Rural";2;7
95454;"77730";"Endogé";"humide";"facile";"Rural";3;19
95454;"77730";"Epigé";"humide";"facile";"Rural";1;0
95454;"77730";"Epigé";"humide";"facile";"Rural";2;0
95454;"77730";"Epigé";"humide";"facile";"Rural";3;0
95473;"58240";"Anécique tête noire";"humide";"facile";"Rural";1;8
95473;"58240";"Anécique tête noire";"humide";"facile";"Rural";2;17
95473;"58240";"Anécique tête noire";"humide";"facile";"Rural";3;0
95473;"58240";"Anécique tête rouge";"humide";"facile";"Rural";1;4
95473;"58240";"Anécique tête rouge";"humide";"facile";"Rural";2;8
95473;"58240";"Anécique tête rouge";"humide";"facile";"Rural";3;0
95473;"58240";"Endogé";"humide";"facile";"Rural";1;9
95473;"58240";"Endogé";"humide";"facile";"Rural";2;2
95473;"58240";"Endogé";"humide";"facile";"Rural";3;3
95473;"58240";"Epigé";"humide";"facile";"Rural";1;20
95473;"58240";"Epigé";"humide";"facile";"Rural";2;32
95473;"58240";"Epigé";"humide";"facile";"Rural";3;14
95479;"49000";"Anécique tête noire";"humide";"";"Urbain";1;7
95479;"49000";"Anécique tête noire";"humide";"";"Urbain";2;0
95479;"49000";"Anécique tête noire";"humide";"";"Urbain";3;0
95479;"49000";"Anécique tête rouge";"humide";"";"Urbain";1;4
95479;"49000";"Anécique tête rouge";"humide";"";"Urbain";2;0
95479;"49000";"Anécique tête rouge";"humide";"";"Urbain";3;0
95479;"49000";"Endogé";"humide";"";"Urbain";1;1
95479;"49000";"Endogé";"humide";"";"Urbain";2;0
95479;"49000";"Endogé";"humide";"";"Urbain";3;0
95479;"49000";"Epigé";"humide";"";"Urbain";1;18
95479;"49000";"Epigé";"humide";"";"Urbain";2;0
95479;"49000";"Epigé";"humide";"";"Urbain";3;0
95491;"78700";"Anécique tête noire";"humide";"facile";"Urbain";1;5
95491;"78700";"Anécique tête noire";"humide";"facile";"Urbain";2;0
95491;"78700";"Anécique tête noire";"humide";"facile";"Urbain";3;0
95491;"78700";"Anécique tête rouge";"humide";"facile";"Urbain";1;0
95491;"78700";"Anécique tête rouge";"humide";"facile";"Urbain";2;0
95491;"78700";"Anécique tête rouge";"humide";"facile";"Urbain";3;0
95491;"78700";"Endogé";"humide";"facile";"Urbain";1;3
95491;"78700";"Endogé";"humide";"facile";"Urbain";2;0
